,DAILY_ENTRIES,PREV_ENTRIES,ENTRIES,Stop Name,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Station ID,Complex ID,GTFS Stop ID,Division,Line,Borough,Daytime Routes,Structure,Latitude,Longitude
98,248712.0,41421424221.0,41402391270,57 st,225,225,225,225,225,225,225,225,224,224,B10,IND,6th Av - Culver,M,F,Subway,40.763971999999995,-73.97745
99,1229186.0,83181782764.0,83182891420,59 st,34,34,34,34,34,34,34,34,35,35,R41,BMT,4th Av,Bk,N R,Subway,40.641362,-74.017881
100,1229186.0,83181782764.0,83182891420,59 st,401,401,401,401,401,401,401,401,400,613,629,IRT,Lexington Av,M,4 5 6,Subway,40.762526,-73.967967
101,117147.0,24512804336.0,24512814205,6 av,115,115,115,115,115,115,115,115,116,601,L02,BMT,Canarsie,M,L,Subway,40.737334999999995,-73.996786
102,66608.0,324751897.0,324818505,65 st,269,269,269,269,269,269,269,269,268,268,G15,IND,Queens Blvd,Q,M R,Subway,40.749669,-73.898453
103,149915.0,907134971.0,907284886,67 av,263,263,263,263,263,263,263,263,262,262,G09,IND,Queens Blvd,Q,M R,Subway,40.726523,-73.852719
104,86531.0,555821808.0,555908339,69 st,456,456,456,456,456,456,456,456,455,455,711,IRT,Flushing,Q,7,Elevated,40.746325,-73.896403
105,498047.0,38041167335.0,38041665382,7 av,40,40,40,40,40,40,40,40,41,41,D25,BMT,Broadway - Brighton,Bk,B Q,Subway,40.67705,-73.972367
106,498047.0,38041167335.0,38041665382,7 av,241,241,241,241,241,241,241,241,240,240,F24,IND,6th Av - Culver,Bk,F G,Subway,40.666271,-73.980305
107,498047.0,38041167335.0,38041665382,7 av,278,278,278,278,278,278,278,278,277,277,D14,IND,Queens Blvd,M,B D E,Subway,40.762862,-73.981637
108,95205.0,501184576.0,501279781,71 st,63,63,63,63,63,63,63,63,64,64,B17,BMT,West End,Bk,D,Elevated,40.61958900000001,-73.998864
109,768020.0,70950646072.0,70951338932,72 st,159,159,159,159,159,159,159,159,160,160,A22,IND,8th Av - Fulton St,M,B C,Subway,40.775594,-73.97641
110,768020.0,70950646072.0,70951338932,72 st,314,314,314,314,314,314,314,314,313,313,123,IRT,Broadway - 7Av,M,1 2 3,Subway,40.778453000000006,-73.98196999999998
111,768020.0,70950646072.0,70951338932,72 st,475,475,475,475,475,475,475,475,477,477,Q03,IND,Second Av,M,Q,Subway,40.768799,-73.958424
112,61337.0,9518939603.0,9519000940,75 av,261,261,261,261,261,261,261,261,260,260,F07,IND,Queens Blvd,Q,E F,Subway,40.718331,-73.837324
113,533067.0,5612578854.0,5613111921,77 st,36,36,36,36,36,36,36,36,37,37,R43,BMT,4th Av,Bk,R,Subway,40.629742,-74.02551
114,533067.0,5612578854.0,5613111921,77 st,399,399,399,399,399,399,399,399,398,398,627,IRT,Lexington Av,M,6,Subway,40.77362,-73.959874
115,387069.0,2576289046.0,2576676115,79 st,64,64,64,64,64,64,64,64,65,65,B18,BMT,West End,Bk,D,Elevated,40.613501,-74.00061
116,387069.0,2576289046.0,2576676115,79 st,313,313,313,313,313,313,313,313,312,312,122,IRT,Broadway - 7Av,M,1,Subway,40.783934,-73.979917
117,685202.0,3813575281.0,3814260483,8 av,70,70,70,70,70,70,70,70,71,71,N02,BMT,Sea Beach,Bk,N,Open Cut,40.635064,-74.011719
118,685202.0,3813575281.0,3814260483,8 av,114,114,114,114,114,114,114,114,115,618,L01,BMT,Canarsie,M,L,Subway,40.739777000000004,-74.002578
119,76127.0,2680401996.0,2680478123,80 st,190,190,190,190,190,190,190,190,190,190,A59,IND,Liberty Av,Q,A,Elevated,40.679371,-73.858992
120,1467420.0,28210371459.0,28211669285,86 st,37,37,37,37,37,37,37,37,38,38,R44,BMT,4th Av,Bk,R,Subway,40.622687,-74.028398
121,1467420.0,28210371459.0,28211669285,86 st,78,78,78,78,78,78,78,78,79,79,N10,BMT,Sea Beach,Bk,N,Open Cut,40.592721000000004,-73.97823000000002
122,1467420.0,28210371459.0,28211669285,86 st,157,157,157,157,157,157,157,157,158,158,A20,IND,8th Av - Fulton St,M,B C,Subway,40.785868,-73.96891600000002
123,1467420.0,28210371459.0,28211669285,86 st,312,312,312,312,312,312,312,312,311,311,121,IRT,Broadway - 7Av,M,1,Subway,40.788644,-73.976218
124,1467420.0,28210371459.0,28211669285,86 st,398,398,398,398,398,398,398,398,397,397,626,IRT,Lexington Av,M,4 5 6,Subway,40.779492,-73.955589
125,1467420.0,28210371459.0,28211669285,86 st,474,474,474,474,474,474,474,474,476,476,Q04,IND,Second Av,M,Q,Subway,40.777891,-73.951787
126,49561.0,219521177.0,219570738,88 st,191,191,191,191,191,191,191,191,191,191,A60,IND,Liberty Av,Q,A,Elevated,40.679843,-73.85146999999998
127,90533.0,1894068646.0,1894159179,9 av,58,58,58,58,58,58,58,58,59,59,B12,BMT,West End,Bk,D,Open Cut,40.646291999999995,-73.994324
128,704533.0,2972719918.0,2973424451,96 st,156,156,156,156,156,156,156,156,157,157,A19,IND,8th Av - Fulton St,M,B C,Subway,40.791641999999996,-73.96469599999998
129,704533.0,2972719918.0,2973424451,96 st,311,311,311,311,311,311,311,311,310,310,120,IRT,Broadway - 7Av,M,1 2 3,Subway,40.793919,-73.972323
130,704533.0,2972719918.0,2973424451,96 st,397,397,397,397,397,397,397,397,396,396,625,IRT,Lexington Av,M,6,Subway,40.785672,-73.95107
131,704533.0,2972719918.0,2973424451,96 st,473,473,473,473,473,473,473,473,475,475,Q05,IND,Second Av,M,Q,Subway,40.784318,-73.947152
132,39913.0,145801117.0,145841030,alabama av,90,90,90,90,90,90,90,90,91,91,J24,BMT,Jamaica,Bk,J,Elevated,40.676992,-73.89865400000002
133,92620.0,238431083.0,238523703,allerton av,424,424,424,424,424,424,424,424,423,423,210,IRT,Lenox - White Plains Rd,Bx,2 5,Elevated,40.865462,-73.867352
134,43913.0,1079427969.0,1079471882,aqueduct racetrack,196,196,196,196,196,196,196,196,196,196,H01,IND,Rockaway,Q,A,At Grade,40.672096999999994,-73.83591899999998
135,288940.0,743566651.0,743855591,astor pl,408,408,408,408,408,408,408,408,407,407,636,IRT,Lexington Av,M,6,Subway,40.730053999999996,-73.99107
136,252198.0,1136386145.0,1136638343,astoria blvd,1,1,1,1,1,1,1,1,2,2,R03,BMT,Astoria,Q,N W,Elevated,40.770258,-73.917843
137,34330.0,60041562.0,60075892,atlantic av,132,132,132,132,132,132,132,132,133,133,L24,BMT,Canarsie,Bk,L,Elevated,40.675345,-73.903097
138,56034.0,2450299342.0,2450355376,avenue h,47,47,47,47,47,47,47,47,48,48,D32,BMT,Broadway - Brighton,Bk,B Q,Open Cut,40.62927,-73.961639
139,11706.0,180725897.0,180737603,avenue i,247,247,247,247,247,247,247,247,246,246,F31,IND,6th Av - Culver,Bk,F,Elevated,40.625322,-73.976127
140,111080.0,963756241.0,963867321,avenue j,48,48,48,48,48,48,48,48,49,49,D33,BMT,Broadway - Brighton,Bk,B Q,Open Cut,40.625039,-73.960803
141,109274.0,2258570288.0,2258679562,avenue m,49,49,49,49,49,49,49,49,50,50,D34,BMT,Broadway - Brighton,Bk,B Q,Open Cut,40.617618,-73.959399
142,30360.0,2981740760.0,2981771120,avenue n,249,249,249,249,249,249,249,249,248,248,F33,IND,6th Av - Culver,Bk,F,Elevated,40.615140000000004,-73.974197
143,23494.0,260356280.0,260379774,avenue p,250,250,250,250,250,250,250,250,249,249,F34,IND,6th Av - Culver,Bk,F,Elevated,40.608944,-73.973022
144,194927.0,4289155322.0,4289350249,avenue u,51,51,51,51,51,51,51,51,52,52,D37,BMT,Broadway - Brighton,Bk,B Q,Open Cut,40.5993,-73.955929
145,194927.0,4289155322.0,4289350249,avenue u,77,77,77,77,77,77,77,77,78,78,N09,BMT,Sea Beach,Bk,N,Open Cut,40.597473,-73.979137
146,194927.0,4289155322.0,4289350249,avenue u,252,252,252,252,252,252,252,252,251,251,F36,IND,6th Av - Culver,Bk,F,Elevated,40.596063,-73.973357
147,51981.0,271228518.0,271280499,avenue x,253,253,253,253,253,253,253,253,252,252,F38,IND,6th Av - Culver,Bk,F,Elevated,40.589620000000004,-73.97425
148,46766.0,235516412.0,235563178,bay 50 st,69,69,69,69,69,69,69,69,70,70,B23,BMT,West End,Bk,D,Elevated,40.588840999999995,-73.983765
149,281802.0,40806437225.0,40806590549,bay pkwy,67,67,67,67,67,67,67,67,68,68,B21,BMT,West End,Bk,D,Elevated,40.601875,-73.993728
150,281802.0,40806437225.0,40806590549,bay pkwy,75,75,75,75,75,75,75,75,76,76,N07,BMT,Sea Beach,Bk,N,Open Cut,40.611815,-73.981848
151,281802.0,40806437225.0,40806590549,bay pkwy,248,248,248,248,248,248,248,248,247,247,F32,IND,6th Av - Culver,Bk,F,Elevated,40.620769,-73.975264
152,127797.0,592203398.0,592331195,bay ridge av,35,35,35,35,35,35,35,35,36,36,R42,BMT,4th Av,Bk,R,Subway,40.634966999999996,-74.023377
153,56714.0,316767583.0,316824297,baychester av,444,444,444,444,444,444,444,444,443,443,502,IRT,Dyre Av,Bx,5,Open Cut,40.878663,-73.83859100000002
154,7483.0,2375866954.0,2375874437,beach 105 st,203,203,203,203,203,203,203,203,202,202,H14,IND,Rockaway,Q,A S,Viaduct,40.583209000000004,-73.827559
155,32947.0,165354906.0,165387853,beach 25 st,209,209,209,209,209,209,209,209,208,208,H10,IND,Rockaway,Q,A,Viaduct,40.600066,-73.761353
156,17405.0,93495342.0,93512747,beach 36 st,208,208,208,208,208,208,208,208,207,207,H09,IND,Rockaway,Q,A,Viaduct,40.595397999999996,-73.768175
157,13551.0,59716457.0,59730008,beach 44 st,207,207,207,207,207,207,207,207,206,206,H08,IND,Rockaway,Q,A,Viaduct,40.592943,-73.776013
158,40485.0,2560863940.0,2560904425,beach 60 st,206,206,206,206,206,206,206,206,205,205,H07,IND,Rockaway,Q,A,Viaduct,40.592374,-73.788522
159,48687.0,226749908.0,226798595,beach 67 st,205,205,205,205,205,205,205,205,204,204,H06,IND,Rockaway,Q,A,Viaduct,40.590927,-73.796924
160,23471.0,119482284.0,119505755,beach 90 st,201,201,201,201,201,201,201,201,200,200,H12,IND,Rockaway,Q,A S,Viaduct,40.588034,-73.813641
161,9274.0,95785832.0,95795106,beach 98 st,202,202,202,202,202,202,202,202,201,201,H13,IND,Rockaway,Q,A S,Viaduct,40.585307,-73.82055799999998
162,559819.0,5486572626.0,5487132445,bedford av,119,119,119,119,119,119,119,119,120,120,L08,BMT,Canarsie,Bk,L,Subway,40.717304,-73.956872
163,263055.0,1112835757.0,1109443923,bergen st,237,237,237,237,237,237,237,237,236,236,F20,IND,6th Av - Culver,Bk,F G,Subway,40.686145,-73.99086199999998
164,263055.0,1112835757.0,1109443923,bergen st,340,340,340,340,340,340,340,340,339,339,236,IRT,Eastern Pky,Bk,2 3,Subway,40.680828999999996,-73.975098
